trade,ticker,sector,taken,orig_pnl,sim_pnl,scale,vix,v30,mfe,mae,dur,exit_reason,reason
0,DUK,UTIL,True,2.53,2.53,1.0,,12.577163458680344,2.682470368059888,0.0,7.0,target_1_hit,
1,EXC,UTIL,True,3.11,3.11,1.0,,12.577163458680344,3.1769408794445613,0.0,7.0,target_1_hit,
2,LIN,MATERIALS,True,3.56,3.56,1.0,,12.577163458680344,3.563629557223968,0.0,2.0,target_1_hit,
3,SO,UTIL,True,2.54,2.54,1.0,,12.577163458680344,2.606484424666243,0.0,7.0,target_1_hit,
4,TGT,DISC,True,4.85,4.85,1.0,,12.577163458680344,4.853263250109505,0.0,3.0,target_1_hit,
5,CSCO,TECH,True,4.4,4.4,1.0,,12.577163458680344,4.395743602736255,0.0,2.0,target_1_hit,
6,FDX,INDUS,True,0.97,2.118064388479041,1.0,,12.577163458680344,3.025806269255773,-3.0894033183526948,14.0,reconciled_stale,
7,NEE,UTIL,True,2.23,1.7655104497209761,1.0,,12.577163458680344,2.5221577853156805,-0.5908742750848014,14.0,reconciled_stale,
8,PFE,HEALTH,True,3.63,3.63,1.0,,12.577163458680344,5.925233644859813,0.0,7.0,target_1_hit,
9,ETN,INDUS,True,1.46,1.5297202797202794,1.0,,12.577163458680344,2.185314685314685,-1.437451437451437,14.0,reconciled_stale,
10,COST,STAPLES,True,2.82,2.82,1.0,,12.577163458680344,2.881101170559954,0.0,7.0,target_1_hit,
11,GD,OTHER,True,0.82,1.947931732716228,1.0,,12.577163458680344,2.78275961816604,-0.5987850737633786,14.0,reconciled_stale,
12,WMT,STAPLES,True,0.72,2.7695776957769573,1.0,,12.577163458680344,3.9565395653956537,0.0,14.0,reconciled_stale,
13,BK,OTHER,True,3.56,3.56,1.0,,12.577163458680344,3.8620868214378175,-1.0529041166824888,7.0,target_1_hit,
14,BRK.B,FIN,True,-0.55,-0.55,1.0,,12.577163458680344,0.4350994066826272,-2.4742375351306336,14.0,reconciled_stale,
15,CAT,INDUS,True,5.29,3.7997804172073057,1.0,,12.577163458680344,5.42825773886758,-0.8654984101635463,8.0,target_1_hit,
16,CMCSA,COMM,True,-5.65,-4.0,1.0,,12.577163458680344,1.144516569866758,-5.978817902289033,14.0,reconciled_stale,
17,COP,ENERGY,True,3.94,3.94,1.0,,12.577163458680344,3.94147621988882,0.0,2.0,target_1_hit,
18,CVX,ENERGY,True,-4.07,-4.0,1.0,,12.577163458680344,2.333879834120937,-4.662937602468898,8.0,stop_hit,
19,JNJ,HEALTH,True,3.66,3.66,1.0,,12.577163458680344,3.656033524330797,0.0,2.0,target_1_hit,
20,BMY,HEALTH,True,3.14,3.14,1.0,,13.730797066309744,4.328636903751485,-0.6705143439144458,4.0,target_1_hit,
21,CSCO,TECH,True,0.61,0.61,1.0,,13.730797066309744,0.4745254745254745,-3.802447552447553,10.0,reconciled_stale,
22,LIN,MATERIALS,True,0.42,1.8218003674219228,1.0,,13.730797066309744,2.60257195345989,0.0,11.0,reconciled_stale,
23,MO,STAPLES,True,1.72,1.2728232986268295,1.0,,13.730797066309744,1.818318998038328,-2.9877772747849707,11.0,reconciled_stale,
24,COP,ENERGY,True,-4.71,-4.0,1.0,,13.730797066309744,0.6736526946107785,-4.767964071856287,4.0,stop_hit,
25,NFLX,COMM,True,5.89,5.334475008027393,1.0,,13.730797066309744,7.620678582896276,-0.4067216097613186,10.0,reconciled_stale,
26,TGT,DISC,True,0.1,1.8373165618448637,1.0,,13.730797066309744,2.6247379454926625,-0.3522012578616368,10.0,reconciled_stale,
27,C,FIN,True,3.93,3.3726717216770767,0.906797932985347,,16.54172275251799,4.692239072256922,0.0,6.0,reconciled_stale,
28,SPG,REIT,True,1.81,1.5519957081545033,0.906797932985347,,16.54172275251799,2.1566523605150105,-0.0107296137339055,6.0,reconciled_stale,
29,MO,STAPLES,True,-2.07,-2.07,0.906797932985347,,16.54172275251799,0.0,-2.5761479011971518,0.0,stop_hit,
30,AMGN,HEALTH,True,-4.05,-4.0,0.906797932985347,,16.54172275251799,0.0,-4.793360433604336,6.0,reconciled_stale,
31,COP,ENERGY,True,2.35,2.35,0.906797932985347,,16.54172275251799,0.196047678795483,-0.4940401505646173,0.0,reconciled_stale,
32,XOM,ENERGY,True,2.23,1.7811718315086287,0.906797932985347,,16.54172275251799,2.220572771695429,-0.9154450423702604,5.0,reconciled_stale,
33,WMT,STAPLES,False,,0.0,,,,,,,,sector_cap
34,TGT,DISC,True,-1.31,-1.31,0.9063179153918691,,16.55048382610243,1.157694534027942,-1.7365418010419331,5.0,reconciled_stale,
35,NFLX,COMM,True,5.91,5.2497343898613025,0.9063179153918691,,16.55048382610243,7.649114632871008,0.0,5.0,reconciled_stale,
36,NEE,UTIL,False,,0.0,,,,,,,,sector_cap
37,MO,STAPLES,False,,0.0,,,,,,,,sector_cap
38,LIN,MATERIALS,True,0.46,1.032148868371599,0.9063179153918691,,16.55048382610243,2.673829561238663,0.0,5.0,reconciled_stale,
39,GD,OTHER,True,0.68,0.68,0.9063179153918691,,16.55048382610243,1.4964610717896896,0.0,5.0,reconciled_stale,
40,FDX,INDUS,True,0.7,0.9073410013531773,0.9063179153918691,,16.55048382610243,1.8578033378439245,0.0,5.0,reconciled_stale,
41,ETN,INDUS,False,,0.0,,,,,,,,sector_cap
42,AMGN,HEALTH,True,-3.77,-4.0,0.9063179153918691,,16.55048382610243,0.0,-4.492512432096076,5.0,reconciled_stale,
43,CMCSA,COMM,True,-6.71,-4.0,0.9063179153918691,,16.55048382610243,0.0,-7.027027027027026,5.0,reconciled_stale,
44,BRK.B,FIN,True,-0.99,-0.99,0.9063179153918691,,16.55048382610243,0.0,-1.310061771900002,5.0,reconciled_stale,
45,CSCO,TECH,True,0.66,0.66,0.9063179153918691,,16.55048382610243,0.8620689655172388,-1.274362818590717,5.0,reconciled_stale,
46,XOM,ENERGY,False,,0.0,,,,,,,,sector_cap
47,SPG,REIT,True,1.3,1.251028497964428,0.9063179153918691,,16.55048382610243,2.003428326548093,0.0,5.0,reconciled_stale,
48,PFE,HEALTH,False,,0.0,,,,,,,,sector_cap
49,C,FIN,True,3.33,2.963782113965686,0.9063179153918691,,16.55048382610243,4.329273713218953,0.0,5.0,reconciled_stale,
50,COP,ENERGY,False,,0.0,,,,,,,,sector_cap
51,CSCO,TECH,True,4.03,2.619026845637584,0.5,24.1700000762939,17.829900809973136,2.0134228187919465,0.0,0.0,reconciled_stale,
52,LIN,MATERIALS,True,1.53,1.583159698284602,0.5,24.1700000762939,17.829900809973136,2.7271989942820065,-0.9367776471065332,2.0,reconciled_stale,
53,MO,STAPLES,True,0.15,0.15,0.5,24.1700000762939,17.829900809973136,1.0981622590766456,-3.07037203047962,2.0,reconciled_stale,
54,MRK,HEALTH,True,3.44,3.44,0.5,24.1700000762939,17.829900809973136,0.7074875768550399,0.0,0.0,reconciled_stale,
55,XOM,ENERGY,True,-5.78,-4.0,0.5,24.1700000762939,17.829900809973136,0.5276721070070033,-5.687814455761431,0.0,reconciled_stale,
56,NEE,UTIL,True,0.18,0.18,0.5,24.1700000762939,17.829900809973136,0.1711229946524032,0.0,0.0,reconciled_stale,
57,NEE,UTIL,True,1.7,1.8635566737018836,0.8412834238320477,,17.829900809973136,3.3785222456729453,0.0,2.0,reconciled_stale,
58,FDX,INDUS,True,1.24,1.1642103850798375,0.8,21.0400009155273,17.73139771945264,1.8140346169327923,0.0,1.0,reconciled_stale,
59,COP,ENERGY,True,-2.69,-0.7795951126018209,0.8,21.0400009155273,17.73139771945264,1.8846829579939304,-2.898897939626258,1.0,reconciled_stale,
60,CSCO,TECH,True,-1.51,-1.51,0.8,21.0400009155273,17.73139771945264,0.931899641577062,-1.7443249701314336,1.0,reconciled_stale,
61,PFE,HEALTH,True,-1.71,-1.71,0.8,21.0400009155273,17.73139771945264,0.0,-1.274117218784121,1.0,reconciled_stale,
62,XOM,ENERGY,True,-2.24,-0.5726949174241476,0.8,21.0400009155273,17.73139771945264,1.824350275252842,-2.611701446677768,1.0,reconciled_stale,
63,GOOGL,TECH,True,0.42,0.42,0.8,21.0400009155273,17.73139771945264,0.6554897264590887,-1.766355729232327,1.0,reconciled_stale,
64,TGT,DISC,True,-0.44,-0.44,0.8,21.0400009155273,17.73139771945264,0.7472384665367138,-1.1046133853151396,1.0,reconciled_stale,
65,TXN,TECH,True,2.42,2.1815174724748667,0.8,21.0400009155273,17.73139771945264,3.238391574916223,0.0,1.0,reconciled_stale,
66,USB,FIN,True,1.11,1.170065028901734,0.8,21.0400009155273,17.73139771945264,2.05021676300578,-0.0993497109826584,1.0,reconciled_stale,
67,CVS,HEALTH,True,0.04,0.04,0.8,21.0400009155273,17.73139771945264,0.5711384693488881,-0.4949866734357164,1.0,reconciled_stale,
68,GS,FIN,True,-0.22,-0.22,0.8,21.0400009155273,17.73139771945264,0.3566105437482771,-0.9395528567485496,1.0,reconciled_stale,
69,AMD,TECH,True,5.8,4.626812960740613,0.8,21.0400009155273,17.73139771945264,5.756043202468713,-0.5978913080747387,1.0,reconciled_stale,
70,SBUX,DISC,True,-1.36,-1.36,0.8,21.0400009155273,17.73139771945264,0.0,-1.600859247135853,1.0,reconciled_stale,
71,COP,ENERGY,True,-1.83,-1.83,0.8,19.2299995422363,17.849944607677397,0.0,-1.7602816450632104,0.0,reconciled_stale,
72,DE,INDUS,True,-5.34,-4.0,0.8,19.2299995422363,17.849944607677397,0.0,-5.267594459687283,2.0,reconciled_stale,
73,MS,FIN,True,4.36,3.485385139740968,0.8,19.2299995422363,17.849944607677397,4.35128379913656,0.0,1.0,reconciled_stale,
74,BK,OTHER,True,2.7,2.160906795043801,0.8,19.2299995422363,17.849944607677397,2.703022650146002,0.0,1.0,reconciled_stale,
75,TGT,DISC,True,-0.86,-0.86,0.8,19.2299995422363,17.849944607677397,0.0,-1.6656901314137358,0.0,reconciled_stale,
76,NEE,UTIL,True,-0.36,-0.36,0.8,19.2299995422363,17.849944607677397,0.0162284972411407,-0.3678459374661939,0.0,reconciled_stale,
77,NEE,UTIL,True,0.37,0.37,0.8,19.2299995422363,18.187522952698608,0.4240974336668128,0.0,0.0,reconciled_stale,
