ticker,pnl_pct,MFE_pct,MAE_pct,days,class
FDX,0.97,3.025806269255773,-3.0894033183526948,14.0,winner_gave_back
NEE,2.23,2.5221577853156805,-0.5908742750848014,14.0,slow_winner
ETN,1.46,2.1853146853146854,-1.4374514374514373,14.0,mixed
GD,0.82,2.7827596181660397,-0.5987850737633786,14.0,winner_gave_back
WMT,0.72,3.9565395653956537,0.0,14.0,winner_gave_back
BRK.B,-0.55,0.43509940668262725,-2.4742375351306336,14.0,delayed_loser_recovered
CMCSA,-5.65,1.1445165698667579,-5.978817902289033,14.0,mixed
CSCO,0.61,0.47452547452547456,-3.8024475524475525,10.0,delayed_loser_recovered
LIN,0.42,2.60257195345989,0.0,11.0,winner_gave_back
MO,1.72,1.818318998038328,-2.9877772747849707,11.0,delayed_loser_recovered
NFLX,5.89,7.620678582896276,-0.4067216097613186,10.0,mixed
TGT,0.1,2.6247379454926625,-0.35220125786163686,10.0,winner_gave_back
C,3.93,4.692239072256922,0.0,6.0,mixed
SPG,1.81,2.1566523605150105,-0.01072961373390558,6.0,slow_winner
AMGN,-4.05,0.0,-4.793360433604336,6.0,mixed
COP,2.35,0.19604767879548307,-0.4940401505646173,0.0,legitimate_timeout
XOM,2.23,2.220572771695429,-0.9154450423702605,5.0,slow_winner
COP,1.6,0.0,0.0,,legitimate_timeout
C,3.33,4.329273713218953,0.0,5.0,mixed
PFE,-3.41,0.8092485549132913,-3.4593152512227654,5.0,mixed
SPG,1.3,2.0034283265480926,0.0,5.0,mixed
XOM,1.64,1.6168847198222662,-0.9195260429523452,5.0,mixed
AMGN,-3.77,0.0,-4.492512432096076,5.0,mixed
BRK.B,-0.99,0.0,-1.310061771900002,5.0,legitimate_timeout
CMCSA,-6.71,0.0,-7.027027027027026,5.0,mixed
CSCO,0.66,0.8620689655172388,-1.274362818590717,5.0,legitimate_timeout
ETN,1.1,1.1502198136422621,-0.8046008792545774,5.0,legitimate_timeout
FDX,0.7,1.8578033378439245,0.0,5.0,mixed
GD,0.68,1.4964610717896896,0.0,5.0,legitimate_timeout
LIN,0.46,2.673829561238663,0.0,5.0,winner_gave_back
MO,1.48,1.528154170430593,-1.1517615176151776,5.0,mixed
NEE,1.84,2.071973827699008,0.0,5.0,slow_winner
NFLX,5.91,7.649114632871008,0.0,5.0,mixed
TGT,-1.31,1.1576945340279419,-1.7365418010419331,5.0,mixed
WMT,0.33,3.548676902972885,0.0,5.0,winner_gave_back
CSCO,4.03,2.0134228187919465,0.0,0.0,slow_winner
LIN,1.53,2.7271989942820065,-0.9367776471065331,2.0,mixed
MO,0.15,1.0981622590766456,-3.07037203047962,2.0,delayed_loser_recovered
MRK,3.44,0.7074875768550399,0.0,0.0,legitimate_timeout
XOM,-5.78,0.5276721070070033,-5.687814455761431,0.0,mixed
NEE,0.18,0.17112299465240322,0.0,0.0,legitimate_timeout
NEE,1.7,3.3785222456729453,0.0,2.0,mixed
FDX,1.24,1.8140346169327923,0.0,1.0,mixed
COP,-2.69,1.8846829579939306,-2.898897939626258,1.0,mixed
CSCO,-1.51,0.9318996415770621,-1.7443249701314336,1.0,mixed
PFE,-1.71,0.0,-1.274117218784121,1.0,legitimate_timeout
XOM,-2.24,1.824350275252842,-2.611701446677768,1.0,mixed
GOOGL,0.42,0.6554897264590887,-1.766355729232327,1.0,mixed
TGT,-0.44,0.7472384665367138,-1.1046133853151396,1.0,legitimate_timeout
TXN,2.42,3.238391574916223,0.0,1.0,mixed
USB,1.11,2.05021676300578,-0.09934971098265842,1.0,mixed
CVS,0.04,0.5711384693488881,-0.4949866734357164,1.0,legitimate_timeout
GS,-0.22,0.3566105437482771,-0.9395528567485497,1.0,legitimate_timeout
AMD,5.8,5.756043202468713,-0.5978913080747387,1.0,slow_winner
SBUX,-1.36,0.0,-1.600859247135853,1.0,mixed
COP,-1.83,0.0,-1.7602816450632104,0.0,mixed
DE,-5.34,0.0,-5.267594459687283,2.0,mixed
MS,4.36,4.35128379913656,0.0,1.0,slow_winner
BK,2.7,2.7030226501460026,0.0,1.0,slow_winner
TGT,-0.86,0.0,-1.6656901314137358,0.0,mixed
NEE,-0.36,0.016228497241140755,-0.36784593746619393,0.0,legitimate_timeout
NEE,0.37,0.4240974336668128,0.0,0.0,legitimate_timeout
